Model,MAE,R2
Random Forest,0.10429243792856001,0.8714770335448903
XGBoost,0.10712006451855471,0.8583048138127729
Inherited Random Forest,0.04443990738445569,0.8581761185896073
Inherited XGBoost,0.056243610382080256,0.8790425442625814
